ВРЕМЯ,СУММА,КАТЕГОРИЯ
2017-06-29 20:11:00,-970.0,Еда
2017-06-30 11:20:00,-5000.0,Подарки
2017-06-30 20:05:00,-1313.0,Дом
2017-06-30 23:07:00,-460.0,Еда
2017-07-01 11:20:00,-25000.0,Дом
2017-07-03 12:44:00,-6980.0,Автомобиль
2017-07-03 21:46:00,-1020.0,Еда
2017-07-04 17:44:00,1159.0,Доходы
2017-07-05 18:01:00,-1100.0,Еда
2017-07-05 18:01:00,22000.0,Доходы
2017-07-06 19:59:00,-2148.0,Еда
2017-07-06 19:59:00,-324.0,Еда
2017-07-07 10:04:00,2498.0,Доходы
2017-07-07 14:52:00,-1300.0,Развлечения
2017-07-07 16:56:00,-760.0,Развлечения
2017-07-08 17:13:00,18817.0,Доходы
2017-07-08 17:13:00,251.0,Доходы
2017-07-08 17:13:00,13050.0,Доходы
2017-07-09 09:14:00,2095.0,Доходы
2017-07-09 13:13:00,-232.0,Транспорт
2017-07-09 14:45:00,-9735.0,Дом
2017-07-09 15:22:00,-334.0,Транспорт
2017-07-09 17:51:00,-3096.0,Дом
2017-07-09 17:51:00,-21151.0,Подарки
2017-07-09 19:34:00,-714.0,Еда
2017-07-10 20:19:00,-443.0,Еда
2017-07-11 12:56:00,18270.0,Доходы
2017-07-11 20:37:00,-5090.0,Комплектующие
2017-07-11 20:37:00,-418.0,Еда
2017-07-12 12:56:00,-550.0,Красота и здоровье
2017-07-12 13:49:00,-2200.0,Еда
2017-07-12 13:49:00,-650.0,Еда
2017-07-13 12:03:00,-770.0,Компьютер и программы
2017-07-13 16:14:00,12500.0,Доходы
2017-07-13 16:51:00,-1364.0,Еда
2017-07-14 16:31:00,5000.0,Доходы
2017-07-15 18:15:00,-88.0,Транспорт
2017-07-17 12:49:00,1245.0,Доходы
2017-07-17 12:49:00,442.0,Доходы
2017-07-17 19:31:00,-1392.0,Еда
2017-07-17 19:31:00,-485.0,Еда
2017-07-18 15:06:00,-9500.0,Одежда и обувь
2017-07-18 15:06:00,-195.0,Еда
2017-07-18 17:25:00,-783.0,Одежда и обувь
2017-07-18 17:25:00,-310.0,Транспорт
2017-07-18 17:25:00,-700.0,Транспорт
2017-07-18 18:44:00,-2134.0,Еда
2017-07-18 22:28:00,-100.0,Еда
2017-07-18 22:28:00,-15800.0,Дом
2017-07-20 17:16:00,-619.0,Еда
2017-07-20 17:16:00,-286.0,Еда
2017-07-20 21:44:00,-1911.0,Еда
2017-07-21 16:20:00,-2249.0,Дом
2017-07-22 10:09:00,6670.0,Доходы
2017-07-23 14:38:00,-2192.0,Еда
2017-07-23 18:31:00,-1076.0,Дом
2017-07-23 18:31:00,-1282.0,Еда
2017-07-23 18:31:00,-1700.0,Автомобиль
2017-07-23 18:31:00,-1740.0,Развлечения
2017-07-24 18:21:00,10000.0,Доходы
2017-07-26 20:15:00,-172.0,Еда
2017-07-26 20:15:00,-386.0,Еда
2017-07-27 17:30:00,-766.0,Еда
2017-07-28 13:08:00,-534.0,Еда
2017-07-29 17:39:00,-540.0,Еда
2017-07-29 17:39:00,-384.0,Еда
2017-07-30 23:31:00,-2790.0,Спорт
2017-08-01 19:06:00,-391.0,Еда
2017-08-01 19:06:00,-962.0,Еда
2017-08-02 10:18:00,-1700.0,Транспорт
2017-08-02 10:18:00,-760.0,Транспорт
2017-08-02 19:25:00,-25000.0,Дом
2017-08-03 10:16:00,-1000.0,Еда
2017-08-04 14:29:00,-1000.0,Автомобиль
2017-08-04 15:01:00,-700.0,Автомобиль
2017-08-04 15:54:00,-255.0,Развлечения
2017-08-04 15:54:00,-110.0,Еда
2017-08-04 16:31:00,23000.0,Доходы
2017-08-04 16:31:00,263.0,Доходы
2017-08-05 18:56:00,-658.0,Еда
